experiment,run_name,run_id,approach,dataset,window,seed,anchor_date,sim_days,aggregate_carbon_saved_pct,retrain_count,total_carbon_immediate_gco2,total_carbon_scheduled_gco2,energy_kwh,wait_hours
ag_news_simulation,carbon_aware_window0_seed0,650482339abc4ad280282f62315fa3ca,carbon_aware,,0,0,2024-01-01,60,47.66,18.0,856.572355,448.301777,,
ag_news_simulation,carbon_aware_window0_seed1,d2a21230be364aeea577b908ff5fb8e0,carbon_aware,,0,1,2024-01-01,60,48.06,19.0,922.331062,479.038578,,
ag_news_simulation,carbon_aware_window0_seed2,9c6b3b6e645b4288b184406b4fb0ee22,carbon_aware,,0,2,2024-01-01,60,48.54,19.0,892.748086,459.404773,,
ag_news_simulation,carbon_aware_window1_seed0,4b80935b4d2e4e73944cdfcd7efeb1f1,carbon_aware,,1,0,2024-05-01,60,15.36,18.0,523.296721,442.915379,,
ag_news_simulation,carbon_aware_window1_seed1,8801f81e70174edaa6a45ff74d692bea,carbon_aware,,1,1,2024-05-01,60,24.97,19.0,574.907456,431.333967,,
ag_news_simulation,carbon_aware_window1_seed2,ca161ebfd9a54fbfbf9cd34b647c072e,carbon_aware,,1,2,2024-05-01,60,26.25,19.0,576.367093,425.043269,,
ag_news_simulation,carbon_aware_window2_seed0,9e51375cbe0041db8035fc1117be016d,carbon_aware,,2,0,2024-10-15,60,62.79,18.0,824.178921,306.645702,,
ag_news_simulation,carbon_aware_window2_seed1,c56c1cee50a4486989cb58cd20f03293,carbon_aware,,2,1,2024-10-15,60,62.05,19.0,896.370912,340.170448,,
ag_news_simulation,carbon_aware_window2_seed2,452e1acfa65b420d95e8a1a4aae65d3d,carbon_aware,,2,2,2024-10-15,60,62.81,19.0,885.924565,329.463317,,
ag_news_simulation,drift_immediate_window0_seed0,aaa986ad25314393a624446f053551c1,drift_immediate,,0,0,2024-01-01,60,0.0,18.0,711.073242,711.073242,,
ag_news_simulation,drift_immediate_window0_seed1,73876066d9fb4685a5bc24bf4f840c2c,drift_immediate,,0,1,2024-01-01,60,0.0,19.0,759.782917,759.782917,,
ag_news_simulation,drift_immediate_window0_seed2,3d6c6c7d8ef742519c94aee6022691d6,drift_immediate,,0,2,2024-01-01,60,0.0,19.0,744.276698,744.276698,,
ag_news_simulation,drift_immediate_window1_seed0,abd4c48a64e543f5abc3ab620d20313c,drift_immediate,,1,0,2024-05-01,60,0.0,18.0,368.654787,368.654787,,
ag_news_simulation,drift_immediate_window1_seed1,e1c6a04d9cf347dab4bf137ce985da54,drift_immediate,,1,1,2024-05-01,60,0.0,19.0,400.450123,400.450123,,
ag_news_simulation,drift_immediate_window1_seed2,91c2e6bf3c404ff7ac40582fd8ee227b,drift_immediate,,1,2,2024-05-01,60,0.0,19.0,399.168563,399.168563,,
ag_news_simulation,drift_immediate_window2_seed0,fe4c10af999a4c1eb4dcf77c1aff6321,drift_immediate,,2,0,2024-10-15,60,0.0,18.0,656.253682,656.253682,,
ag_news_simulation,drift_immediate_window2_seed1,2be2379d2c56496eb8a3329e794b2146,drift_immediate,,2,1,2024-10-15,60,0.0,19.0,717.977906,717.977906,,
ag_news_simulation,drift_immediate_window2_seed2,87fd2e5d60fb4722aaf18a66dd3d4ccd,drift_immediate,,2,2,2024-10-15,60,0.0,19.0,701.466232,701.466232,,
ag_news_simulation,periodic_window0_seed0,41fe74e27ebc408883fbf3cdbd43d0a8,periodic,,0,0,2024-01-01,60,0.0,8.0,297.912583,297.912583,,
ag_news_simulation,periodic_window0_seed1,60a6c47b0c4e4f3ca0ab8b44f77405e5,periodic,,0,1,2024-01-01,60,0.0,8.0,297.912583,297.912583,,
ag_news_simulation,periodic_window0_seed2,e0d5849e73fe44e68b590667f8367bd4,periodic,,0,2,2024-01-01,60,0.0,8.0,297.912583,297.912583,,
ag_news_simulation,periodic_window1_seed0,0288091408814559a9af76a489293abb,periodic,,1,0,2024-05-01,60,0.0,8.0,168.385128,168.385128,,
ag_news_simulation,periodic_window1_seed1,bd587a58425b43eca11830078d0e92da,periodic,,1,1,2024-05-01,60,0.0,8.0,168.385128,168.385128,,
ag_news_simulation,periodic_window1_seed2,75fc745afb244918a72a22ca4ed5f37d,periodic,,1,2,2024-05-01,60,0.0,8.0,168.385128,168.385128,,
ag_news_simulation,periodic_window2_seed0,6cd7dccf540947b096ffa88f71cff6d7,periodic,,2,0,2024-10-15,60,0.0,8.0,312.437659,312.437659,,
ag_news_simulation,periodic_window2_seed1,3829b42854864e79b43082b81e613999,periodic,,2,1,2024-10-15,60,0.0,8.0,312.437659,312.437659,,
ag_news_simulation,periodic_window2_seed2,3cd7d43cc86945a788bf2907b4602b82,periodic,,2,2,2024-10-15,60,0.0,8.0,312.437659,312.437659,,
cifar100_simulation,carbon_aware_window0_seed0,8a4a49359eb24a8ebb89e3054b8949d7,carbon_aware,,0,0,2024-01-01,60,47.34,20.0,40.269791,21.205063,,
cifar100_simulation,carbon_aware_window0_seed1,59b0dbeba52e4dddaedabf10c35fd9c6,carbon_aware,,0,1,2024-01-01,60,47.34,20.0,40.269791,21.205063,,
cifar100_simulation,carbon_aware_window0_seed2,9ca779e086994b9fb6e31f6c9bce85a9,carbon_aware,,0,2,2024-01-01,60,47.34,20.0,40.269791,21.205063,,
cifar100_simulation,carbon_aware_window1_seed0,7896fff5560d4d49bfe739055852d33d,carbon_aware,,1,0,2024-05-01,60,14.91,20.0,25.069132,21.33236,,
cifar100_simulation,carbon_aware_window1_seed1,1f36c0803d834c2eab8da87c45e574cb,carbon_aware,,1,1,2024-05-01,60,14.91,20.0,25.069132,21.33236,,
cifar100_simulation,carbon_aware_window1_seed2,35bb04bb49e84d56a9b5af1e7e3d18f9,carbon_aware,,1,2,2024-05-01,60,14.91,20.0,25.069132,21.33236,,
cifar100_simulation,carbon_aware_window2_seed0,d5dd391f3e6c4eb8b2c8dfacd44354f7,carbon_aware,,2,0,2024-10-15,60,60.64,20.0,41.373609,16.28618,,
cifar100_simulation,carbon_aware_window2_seed1,0d028e8cfbdd49c7b24814964ea3ca6e,carbon_aware,,2,1,2024-10-15,60,60.64,20.0,41.373609,16.28618,,
cifar100_simulation,carbon_aware_window2_seed2,11596dc44dc24e1dba9893b534fbb7b1,carbon_aware,,2,2,2024-10-15,60,60.64,20.0,41.373609,16.28618,,
cifar100_simulation,drift_immediate_window0_seed0,624ab1880b634ea192778f6b8f651444,drift_immediate,,0,0,2024-01-01,60,0.0,20.0,33.70683,33.70683,,
cifar100_simulation,drift_immediate_window0_seed1,ec88a6f36d004e099363fb9d7f104659,drift_immediate,,0,1,2024-01-01,60,0.0,20.0,33.70683,33.70683,,
cifar100_simulation,drift_immediate_window0_seed2,1e12fdbe59174aa4bf3fcc4a4364e42d,drift_immediate,,0,2,2024-01-01,60,0.0,20.0,33.70683,33.70683,,
cifar100_simulation,drift_immediate_window1_seed0,12deb201eee84f20b3dfd9a7708f4e43,drift_immediate,,1,0,2024-05-01,60,0.0,20.0,17.450966,17.450966,,
cifar100_simulation,drift_immediate_window1_seed1,e72b07d2fa8047bf820486e2425b563b,drift_immediate,,1,1,2024-05-01,60,0.0,20.0,17.450966,17.450966,,
cifar100_simulation,drift_immediate_window1_seed2,e13e0e78548e49219f85ec853f5e01bc,drift_immediate,,1,2,2024-05-01,60,0.0,20.0,17.450966,17.450966,,
cifar100_simulation,drift_immediate_window2_seed0,9f7c3eeea9824cd791b082a17b76c480,drift_immediate,,2,0,2024-10-15,60,0.0,20.0,33.090435,33.090435,,
cifar100_simulation,drift_immediate_window2_seed1,f28447238fd445d9a5e7bea668d08a0a,drift_immediate,,2,1,2024-10-15,60,0.0,20.0,33.090435,33.090435,,
cifar100_simulation,drift_immediate_window2_seed2,c189f8ed33f642fe90b0a412e2b4a6b0,drift_immediate,,2,2,2024-10-15,60,0.0,20.0,33.090435,33.090435,,
cifar100_simulation,periodic_window0_seed0,7a9f4e31d631499daff0632626a54f00,periodic,,0,0,2024-01-01,60,0.0,8.0,12.469792,12.469792,,
cifar100_simulation,periodic_window0_seed1,aa3edd8a99984550844ede72f072dcab,periodic,,0,1,2024-01-01,60,0.0,8.0,12.469792,12.469792,,
cifar100_simulation,periodic_window0_seed2,0ed6d16711544e119a5c52d7184980c2,periodic,,0,2,2024-01-01,60,0.0,8.0,12.469792,12.469792,,
cifar100_simulation,periodic_window1_seed0,0471d6eec986484f889ad7c78d8c00e4,periodic,,1,0,2024-05-01,60,0.0,8.0,7.048133,7.048133,,
cifar100_simulation,periodic_window1_seed1,decff574e68247e08d8fbfc9e31f532d,periodic,,1,1,2024-05-01,60,0.0,8.0,7.048133,7.048133,,
cifar100_simulation,periodic_window1_seed2,b65f6af659bc4264abc2a7bc282e4599,periodic,,1,2,2024-05-01,60,0.0,8.0,7.048133,7.048133,,
cifar100_simulation,periodic_window2_seed0,c09e9dba267e47259ecd2d20385dc383,periodic,,2,0,2024-10-15,60,0.0,8.0,13.077771,13.077771,,
cifar100_simulation,periodic_window2_seed1,f93538da2cbe420aacc5ed4f94e2534c,periodic,,2,1,2024-10-15,60,0.0,8.0,13.077771,13.077771,,
cifar100_simulation,periodic_window2_seed2,14701f854b0a497e9bfd8de1fef71d50,periodic,,2,2,2024-10-15,60,0.0,8.0,13.077771,13.077771,,
ett_simulation,carbon_aware_window0_seed0,812d8937aea346c1811f2fa78a5857fb,carbon_aware,,0,0,2024-01-01,60,47.05,20.0,112.8149,59.73286,,
ett_simulation,carbon_aware_window0_seed1,0cf241c2f753407983b85a303ddcbe0e,carbon_aware,,0,1,2024-01-01,60,47.05,20.0,112.8149,59.73286,,
ett_simulation,carbon_aware_window0_seed2,fdc1eaa2316d43f6a71f485a702e971d,carbon_aware,,0,2,2024-01-01,60,47.05,20.0,112.8149,59.73286,,
ett_simulation,carbon_aware_window1_seed0,75f68944ba794bc9b4694308dbea42eb,carbon_aware,,1,0,2024-05-01,60,14.91,20.0,70.2306,59.76212,,
ett_simulation,carbon_aware_window1_seed1,d14f1ed3667c4104b98c3f9f224698c9,carbon_aware,,1,1,2024-05-01,60,14.91,20.0,70.2306,59.76212,,
ett_simulation,carbon_aware_window1_seed2,ffd9b069963b4f49a7e316a63c7dad60,carbon_aware,,1,2,2024-05-01,60,14.91,20.0,70.2306,59.76212,,
ett_simulation,carbon_aware_window2_seed0,d6eb0ad1431f4f88b7ac91bedbd65798,carbon_aware,,2,0,2024-10-15,60,60.64,20.0,115.90722,45.62536,,
ett_simulation,carbon_aware_window2_seed1,c59600b446314e4cbc5ab6434b95103a,carbon_aware,,2,1,2024-10-15,60,60.64,20.0,115.90722,45.62536,,
ett_simulation,carbon_aware_window2_seed2,dc87489e42eb461eb38db9cec5153bc8,carbon_aware,,2,2,2024-10-15,60,60.64,20.0,115.90722,45.62536,,
ett_simulation,drift_immediate_window0_seed0,dc50e3920f034471950cfb45d96b9fb4,drift_immediate,,0,0,2024-01-01,60,0.0,20.0,94.428913,94.428913,,
ett_simulation,drift_immediate_window0_seed1,ffe7fb44957344a083716c5831409c2d,drift_immediate,,0,1,2024-01-01,60,0.0,20.0,94.428913,94.428913,,
ett_simulation,drift_immediate_window0_seed2,2210bc3148a44c378bcb3ebc809d6b73,drift_immediate,,0,2,2024-01-01,60,0.0,20.0,94.428913,94.428913,,
ett_simulation,drift_immediate_window1_seed0,001ddac0291e4f7ca57e9385ae631c82,drift_immediate,,1,0,2024-05-01,60,0.0,20.0,48.888483,48.888483,,
